         374042 function calls (371003 primitive calls) in 1.890 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2725    0.002    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
     2662    0.002    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1371(is_empty_element)
       56    0.000    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:90(handle_startendtag)
     5431    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
     4682    0.002    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     5598    0.002    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
        1    0.000    0.000    0.002    0.002 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/sessions.py:457(prepare_request)
5916/5909    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     3582    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     2663    0.002    0.000    0.002    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.12/socket.py:946(getaddrinfo)
     2668    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     9213    0.002    0.000    0.002    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
       51    0.000    0.000    0.002    0.000 /usr/lib/python3.12/html/parser.py:123(set_cdata_mode)
       51    0.000    0.000    0.002    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       51    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/http/client.py:231(_parse_header_lines)
     2717    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/email/parser.py:56(parsestr)
     2551    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      885    0.001    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1543(get)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/email/parser.py:41(parse)
     2663    0.001    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
        8    0.000    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:182(handle_charref)
     2662    0.001    0.000    0.001    0.000 /usr/lib/python3.12/_markupbase.py:36(getpos)
        1    0.000    0.000    0.001    0.001 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/utils.py:204(get_netrc_auth)
     2730    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
     2515    0.001    0.000    0.001    0.000 /usr/lib/python3.12/html/parser.py:127(clear_cdata_mode)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.12/re/_compiler.py:740(compile)
     1891    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       13    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:989(exec_module)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.12/encodings/__init__.py:71(search_function)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/email/feedparser.py:171(feed)
        1    0.000    0.000    0.001    0.001 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/sessions.py:750(merge_environment_settings)
        1    0.000    0.000    0.001    0.001 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/models.py:351(prepare)
     1821    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.001    0.000 {built-in method builtins.__import__}
        1    0.000    0.000    0.001    0.001 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/utils.py:826(get_environ_proxies)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.12/email/feedparser.py:176(_call_parse)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.12/email/feedparser.py:216(_parsegen)
       37    0.000    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:273(get_text)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/weakref.py:585(__call__)
        1    0.000    0.000    0.001    0.001 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connectionpool.py:1170(_close_pool_connections)
       34    0.000    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2155(__init__)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      315    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.12/urllib/request.py:2505(getproxies_environment)
        1    0.000    0.000    0.001    0.001 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/adapters.py:446(get_connection_with_tls_context)
       74    0.000    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1417(_all_strings)
       43    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/response.py:1133(_update_chunk_length)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/poolmanager.py:276(connection_from_host)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connection.py:369(request)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/poolmanager.py:305(connection_from_context)
      851    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/utils.py:765(should_bypass_proxies)
        6    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/structures.py:40(__init__)
      174    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/poolmanager.py:330(connection_from_pool_key)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/models.py:409(prepare_url)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connection.py:320(close)
      315    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/adapters.py:359(build_response)
        2    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/util/url.py:367(parse_url)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:469(_parse_headers)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
        1    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/poolmanager.py:229(_new_pool)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/client.py:1013(close)
