         380999 function calls (377998 primitive calls) in 2.968 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    59/57    0.000    0.000    0.003    0.000 {method 'encode' of 'str' objects}
       55    0.000    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:90(handle_startendtag)
       53    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:202(__get__)
       52    0.000    0.000    0.002    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
       52    0.000    0.000    0.002    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
       51    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1624(__eq__)
       51    0.000    0.000    0.001    0.000 /usr/lib/python3.12/html/parser.py:123(set_cdata_mode)
       51    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1292(value)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
       42    0.000    0.000    0.000    0.000 /usr/lib/python3.12/collections/__init__.py:609(__missing__)
       37    0.000    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:273(get_text)
       35    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       34    0.007    0.000    0.083    0.002 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:792(_find_all)
       34    0.000    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2155(__init__)
       34    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2422(__init__)
       34    0.000    0.000    0.083    0.002 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2013(find_all)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
       32    0.000    0.000    0.006    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1987(find)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/utils.py:52(_has_surrogates)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:289(_sanitize_header)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:319(header_fetch_parse)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:127(__next__)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:77(readline)
       28    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       26    0.000    0.000    0.827    0.032 {method 'readline' of '_io.BufferedReader' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       25    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       25    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       24    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
       24    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/_collections.py:300(add)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:511(set_raw)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:301(header_source_parse)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:726(__call__)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
       21    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       20    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     18/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     18/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1394(_iter_member_by_value_)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:117(_iter_bits_lsb)
       16    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
